Round;issu before;Debator1;issu before;Debator2;issu before;Debator3;issu before;Debator4;issu before;Debator5;issu before;Debator6;issu before;Debator7;issu before;Debator8;issu before;Debator9;issu before;Debator10;issu;Run Time;
ROUND 12;0.31408560913527667;24;0.31408101805727784;94;0.3140986987993932;110;0.31410902786611883;288;0.3141182595073502;114;0.3141123427045493;280;0.31410896863535515;43;0.31410690823917636;105;0.3141130418893;20;0.31411064852892706;277;0.31;0.016315937042236328;
ROUND 13;0.3141219131124081;197;0.31412054041512116;273;0.31412826216408096;69;0.3141341054007398;163;0.3141398220035274;58;0.31413754051097426;143;0.314136233270045;177;0.31413592229253273;161;0.31414065678676756;185;0.3141388229016841;39;0.31;0.01601433753967285;
ROUND 14;0.31414269071649525;166;0.314140321246368;138;0.3141465271598212;290;0.3141521836190773;92;0.3141574694416192;-;0.3141574694416192;-;0.3141574694416192;147;0.3141566580859558;155;0.31416064525503445;158;0.31415902921484035;89;0.31;0.015445947647094727;
ROUND 15;0.31416238083774467;73;0.31416108086058653;41;0.31416484026823005;134;0.3141685598251305;116;0.31417065573513453;-;0.31417065573513453;-;0.31417065573513453;35;0.3141692225640495;236;0.3141701362977824;-;0.3141701362977824;83;0.31;0.014031648635864258;
ROUND 16;0.31417100117844593;60;0.31417012347463985;61;0.3141713171221551;180;0.31417191982107956;124;0.31417286001241485;33;0.31417241472188684;-;0.31417241472188684;245;0.3141720611224677;276;0.31417265823248675;253;0.31417241472188684;36;0.31;0.014060258865356445;
ROUND 17;0.3141729053844645;51;0.31417271754457493;278;0.31417313896472915;145;0.3141734781152776;31;0.314173878450966;-;0.314173878450966;259;0.3141738247234577;-;0.3141738247234577;125;0.3141740153004321;119;0.31417394442524776;243;0.31;0.014613866806030273;
ROUND 18;0.3141742076879703;-;0.3141742076879703;80;0.3141743792767667;136;0.3141746216678733;101;0.31417480769102424;29;0.31417474237307347;-;0.31417474237307347;-;0.31417474237307347;191;0.31417486230011293;179;0.3141748190405541;57;0.31;0.015204906463623047;
ROUND 19;0.3141748907248197;25;0.3141748633348376;181;0.31417500527273096;142;0.3141750455043608;109;0.31417507048590587;176;0.3141750441224886;86;0.31417503458511364;122;0.31417501922955554;235;0.3141750522429771;-;0.3141750522429771;120;0.31;0.016658782958984375;
ROUND 20;0.31417507802120764;279;0.31417506510011195;241;0.31417507802120764;289;0.3141750967315483;189;0.3141751078809304;117;0.3141750974582591;203;0.3141750903547468;246;0.3141750841742789;79;0.31417509463500765;150;0.3141750905552218;239;0.31;0.016433238983154297;
ROUND 21;0.3141750952499123;96;0.31417509125407717;193;0.31417510489558204;49;0.3141751116058644;112;0.3141751154967282;37;0.3141751127822812;156;0.3141751101921832;63;0.3141751090413296;77;0.3141751126849711;108;0.3141751112933244;274;0.31;0.04419445991516113;
ROUND 22;0.31417511364176604;258;0.31417511274655213;129;0.31417511452210056;275;0.3141751160241485;104;0.3141751171750019;178;0.3141751156890363;53;0.31417511506663276;231;0.3141751144597988;195;0.31417511511415497;26;0.3141751146718541;169;0.31;0.022829055786132812;
ROUND 23;0.3141751155034636;219;0.3141751152458645;78;0.3141751156881653;137;0.31417511670473053;71;0.3141751173275046;-;0.3141751173275046;167;0.3141751170263528;-;0.3141751170263528;196;0.3141751173275046;151;0.3141751172038387;270;0.31;0.023158550262451172;
ROUND 24;0.31417511746143784;217;0.3141751173624587;160;0.3141751178854563;82;0.3141751181536375;232;0.31417511832026934;204;0.31417511825261674;224;0.3141751182240352;209;0.31417511819135824;206;0.3141751183383004;247;0.31417511832951656;272;0.31;0.02598857879638672;
ROUND 25;0.31417511841980106;-;0.31417511841980106;271;0.3141751185472387;205;0.3141751186022298;238;0.31417511860828795;260;0.31417511855349317;-;0.31417511855349317;242;0.3141751185511773;170;0.3141751186043336;-;0.3141751186043336;222;0.31;0.023067712783813477;
ROUND 26;0.31417511862535175;-;0.31417511862535175;211;0.314175118634727;249;0.31417511863850056;267;0.3141751186416611;262;0.31417511863774283;251;0.31417511863659864;281;0.31417511863606173;255;0.31417511863965913;229;0.3141751186383531;200;0.31;0.024070262908935547;
ROUND 27;0.3141751186426743;228;0.31417511863727066;248;0.31417511863795183;223;0.31417511864047837;257;0.3141751186409153;291;0.31417511864014575;208;0.31417511864005193;214;0.3141751186399388;261;0.31417511864452075;-;0.31417511864452075;292;0.31;0.019989013671875;
ROUND 28;0.31417511864458225;218;0.3141751186445582;225;0.31417511864469266;230;0.31417511864738173;240;0.31417511864739545;207;0.31417511864738173;-;0.31417511864738173;-;0.31417511864738173;234;0.31417511864886716;-;0.31417511864886716;282;0.31;0.02056407928466797;
ROUND 29;0.31417511864887326;266;0.314175118648871;286;0.3141751186489387;221;0.31417511864894626;198;0.31417511864895165;210;0.31417511864894815;-;0.31417511864894815;244;0.31417511864894765;252;0.3141751186489489;-;0.3141751186489489;254;0.31;0.020050525665283203;
ROUND 30;0.31417511864894915;199;0.31417511864894865;284;0.31417511864895536;-;0.31417511864895536;-;0.31417511864895536;233;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31;0.017960548400878906;
ROUND 31;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;-;0.31417511864895514;268;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.31;0.016313791275024414;
ROUND 32;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.3141751186489551;-;0.31;0.01322484016418457;
