Number of agent;root branch;max-arguments-per-branch; rand-seed; max-arguments-at-once; number of round; runtime; freq-deep-arg; issue value; std_goal_issues_values; std_from_final_issue_value
2;2;252;1;1;1;0.0006928443908691406; 3:1; 0.5; 0.014575118476872428; 0.054757657432117135
2;2;262;1;1;1;0.0006389617919921875; 3:1; 0.5; 0.011974871434158485; 0.03711760220015268
2;2;272;1;1;1;0.0007054805755615234; 3:1; 0.5; 0.011974871434158485; 0.03711760220015268
2;2;282;1;1;1;0.0007519721984863281; 3:1; 0.5; 0.011974871434158485; 0.03711760220015268
2;2;292;1;1;1;0.0007617473602294922; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;302;1;1;1;0.0007739067077636719; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;312;1;1;1;0.0007598400115966797; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;322;1;1;1;0.0007872581481933594; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;332;1;1;1;0.0008106231689453125; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;342;1;1;1;0.0007860660552978516; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;352;1;1;1;0.0007936954498291016; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;362;1;1;1;0.0007646083831787109; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;372;1;1;1;0.0007653236389160156; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;382;1;1;1;0.0007810592651367188; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;392;1;1;1;0.0008533000946044922; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;402;1;1;1;0.000766754150390625; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;412;1;1;1;0.0007905960083007812; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;422;1;1;1;0.0008401870727539062; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;432;1;1;1;0.0008456707000732422; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;442;1;1;1;0.0008289813995361328; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;452;1;1;1;0.0007836818695068359; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;462;1;1;1;0.0007812976837158203; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;472;1;1;1;0.0007836818695068359; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;482;1;1;1;0.0009555816650390625; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;492;1;1;1;0.0008709430694580078; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;502;1;1;1;0.000804901123046875; 3:1; 0.5; 0.009501283115007392; 0.031830032744894494
2;2;512;1;1;1;0.0008907318115234375; 3:1; 0.5; 0.00832544416862449; 0.06374159363959866
2;2;522;1;1;1;0.0009157657623291016; 3:1; 0.5; 0.00832544416862449; 0.06374159363959866
2;2;532;1;1;1;0.0009462833404541016; 3:1; 0.5; 0.00832544416862449; 0.06374159363959866
2;2;542;1;1;1;0.002147674560546875; 3:1; 0.5; 0.005492458757356433; 0.03337506626779905
2;2;552;1;1;1;0.0023355484008789062; 3:1; 0.5; 0.005492458757356433; 0.03337506626779905
2;2;562;1;1;1;0.0022454261779785156; 3:1; 0.5; 0.005492458757356433; 0.03337506626779905
2;2;572;1;1;1;0.0023665428161621094; 3:1; 0.5; 0.005492458757356433; 0.03337506626779905
2;2;582;1;1;1;0.002172708511352539; 3:1; 0.5; 0.005492458757356433; 0.03337506626779905
2;2;592;1;1;82;0.19216609001159668; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;602;1;1;82;0.18833708763122559; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;612;1;1;82;0.1987154483795166; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;622;1;1;82;0.1903994083404541; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;632;1;1;82;0.19414782524108887; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;642;1;1;82;0.19293618202209473; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;652;1;1;82;0.2117297649383545; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;662;1;1;82;0.24425649642944336; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;672;1;1;82;0.26275157928466797; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;682;1;1;82;0.21294379234313965; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;692;1;1;82;0.36636996269226074; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;702;1;1;82;0.25708436965942383; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;712;1;1;82;0.3001077175140381; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;722;1;1;82;0.27530837059020996; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;732;1;1;82;0.25257349014282227; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;742;1;1;82;0.2849767208099365; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;752;1;1;82;0.2517259120941162; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;762;1;1;82;0.24592280387878418; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;772;1;1;82;0.2990446090698242; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;782;1;1;82;0.24677348136901855; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;792;1;1;82;0.22181391716003418; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;802;1;1;82;0.19892072677612305; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;812;1;1;82;0.18620753288269043; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;822;1;1;82;0.1915433406829834; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;832;1;1;82;0.18987655639648438; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;842;1;1;82;0.18733501434326172; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;852;1;1;82;0.22770237922668457; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;862;1;1;82;0.29143643379211426; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;872;1;1;82;0.25427746772766113; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;882;1;1;82;0.2644062042236328; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
2;2;892;1;1;82;0.27916383743286133; 34:132; 0.4544764701006892; 0.037802548636384325; 0.039197341561131874
